timestamp,Bayview,Bernal_Heights,Castro_Upper_Market,Chinatown,Crocker_Amazon,Diamond_Heights,Downtown_Civic_Center,Excelsior,Financial_District,Glen_Park,Golden_Gate_Park,Haight_Ashbury,Inner_Richmond,Inner_Sunset,Lakeshore,Marina,Mission,Nob_Hill,Noe_Valley,North_Beach,Ocean_View,Outer_Mission,Outer_Richmond,Outer_Sunset,Pacific_Heights,Parkside,Potrero_Hill,Presidio,Presidio_Heights,Russian_Hill,Seacliff,South_of_Market,Treasure_Island_YBI,Twin_Peaks,Visitacion_Valley,West_of_Twin_Peaks,Western_Addition
2009-03-30,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2009-04-06,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2009-04-13,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2009-04-20,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2009-04-27,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2009-05-04,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2009-05-11,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2009-05-18,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2009-05-25,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2009-06-01,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2009-06-08,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2009-06-15,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2009-06-22,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2009-06-29,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2009-07-06,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2009-07-13,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2009-07-20,,1.0,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,
2009-07-27,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,1.0
2009-08-03,,0.0,,,,,,,,,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
2009-08-10,,2.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
2009-08-17,,2.0,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
2009-08-24,,1.0,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
2009-08-31,,1.0,,,,,,,,,,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,0.0
2009-09-07,,1.0,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
2009-09-14,,0.0,,,,,,,,,,0.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,0.0
2009-09-21,,0.0,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0
2009-09-28,,1.0,,,,,,,,,,0.0,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,2.0
2009-10-05,,1.0,,,,,,,,,,0.0,,0.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0
2009-10-12,,0.0,,,,,,,,,,0.0,,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,0.0
2009-10-19,,0.0,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0
2009-10-26,,0.0,,,,,,,,,,0.0,,0.0,,,1.0,0.0,,,,,,,,,1.0,,,,,,,,,,0.0
2009-11-02,,1.0,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
2009-11-09,,0.0,,,,,,,,,,0.0,,0.0,,,1.0,0.0,,,,,,,,,0.0,,,,,,,,,,1.0
2009-11-16,,2.0,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
2009-11-23,,1.0,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
2009-11-30,,1.0,,,,,,,,,,0.0,,0.0,,,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,0.0
2009-12-07,,1.0,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
2009-12-14,,0.0,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
2009-12-21,,1.0,,,,,,,,,,0.0,,0.0,,,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,0.0
2009-12-28,,0.0,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
2010-01-04,,1.0,,,,,,,,,,0.0,,0.0,,,1.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
2010-01-11,,0.0,,,,,,,,,,0.0,,0.0,,,0.0,1.0,,,,,,,,,1.0,,,,,,,,,,0.0
2010-01-18,,2.0,2.0,,,,,,,,,0.0,,0.0,,,2.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
2010-01-25,,1.0,0.0,,,,,,,,,0.0,,0.0,,,2.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
2010-02-01,,0.0,0.0,,,,,,,,,0.0,,0.0,,,1.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
2010-02-08,,1.0,0.0,,,,,,,,,0.0,,0.0,,,2.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
2010-02-15,,1.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,2.0,,,,,,,,,,1.0
2010-02-22,,0.0,1.0,,,,,,,,,0.0,,0.0,,,1.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
2010-03-01,,1.0,0.0,,,,,,,,,0.0,,0.0,,,2.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
2010-03-08,,0.0,0.0,,,,,,,,,0.0,,0.0,,,3.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
2010-03-15,,0.0,0.0,,,,,,,,,0.0,,0.0,,,2.0,0.0,,,,,,,,,0.0,,,,,,,,,,1.0
2010-03-22,,0.0,0.0,,,,,,,,,0.0,,0.0,,,3.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
2010-03-29,,4.0,1.0,,,,,,,,,0.0,,0.0,,,3.0,0.0,,,,,,,,,0.0,,,,,,,,,,0.0
2010-04-05,,0.0,0.0,,,,,,,,,0.0,,0.0,,,3.0,0.0,,,,,,,,,0.0,,,,,,,,,,1.0
2010-04-12,,0.0,1.0,,,,,,,,,0.0,,0.0,,,2.0,0.0,,,,,,,2.0,,0.0,,,,,,,,,,1.0
2010-04-19,,1.0,0.0,,,,,,,,,0.0,,0.0,,,3.0,0.0,,,,,,,1.0,,1.0,,,,,,,,,,1.0
2010-04-26,,1.0,1.0,,,,,,,,,0.0,,0.0,,,4.0,1.0,1.0,,,,,,0.0,,0.0,,,,,,,,,,0.0
2010-05-03,,2.0,0.0,,,,,,,,,0.0,,0.0,,,2.0,0.0,0.0,,,,,,1.0,,0.0,,,,,,,,,,0.0
2010-05-10,,2.0,1.0,,,,,,,,,0.0,,0.0,,,3.0,1.0,0.0,,,,,,0.0,,0.0,,,,,,,1.0,,,0.0
2010-05-17,,0.0,1.0,,,,,,,,,0.0,,0.0,,,3.0,2.0,1.0,,,,,,1.0,,0.0,,,,,,,1.0,,,0.0
2010-05-24,,0.0,2.0,,,,,,,,,0.0,,0.0,,,4.0,0.0,2.0,,,,,,0.0,,0.0,,,,,,,0.0,,,0.0
2010-05-31,,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,2.0,0.0,,,,,,1.0,,2.0,,,,,,,0.0,,,0.0
2010-06-07,,2.0,1.0,,,,,,,,,0.0,,0.0,,,4.0,1.0,0.0,,,,,,2.0,,2.0,,,,,,,1.0,,,1.0
2010-06-14,,1.0,2.0,,,,,,,,,0.0,,0.0,,,1.0,0.0,1.0,,,,,,1.0,,1.0,,,,,,,0.0,,,0.0
2010-06-21,,1.0,0.0,,,,,,,,,0.0,,0.0,,,3.0,1.0,1.0,,,,,,2.0,,0.0,,,,,,,1.0,,,0.0
2010-06-28,,0.0,1.0,,,,1.0,,,,,0.0,,0.0,,,7.0,2.0,1.0,,,,,,0.0,,1.0,,,,,,,0.0,,,0.0
2010-07-05,,2.0,0.0,,,,2.0,,,,,0.0,,0.0,,,3.0,0.0,3.0,,,,,,1.0,,1.0,,,,,,,0.0,,,0.0
